customer_id,age,segment,visits_last_month,time_on_site_min,discount_percent,purchased,spending_usd
63,23,Nuevo,4,15.24,20,1,78.53
64,23,Frecuente,5,10.92,5,0,40.04
65,43,Frecuente,11,16.43,0,1,56.64
66,48,Frecuente,6,14.56,15,1,69.48
67,34,Nuevo,9,20.57,15,0,87.64
68,45,Nuevo,7,9.0,10,1,56.46
69,38,Nuevo,9,15.32,20,1,89.32
70,28,Nuevo,7,7.93,10,0,61.78
71,38,Nuevo,12,5.54,10,1,79.6
72,50,Frecuente,11,3.86,20,1,70.83
73,34,Nuevo,7,14.15,0,1,67.18
74,50,Premium,5,12.74,10,1,70.31
75,8,Frecuente,7,10.08,10,0,84.07
76,43,Frecuente,10,4.91,15,1,64.09
77,35,Frecuente,10,9.24,20,1,73.65
78,32,Frecuente,3,12.02,5,1,62.6
79,35,Premium,11,15.17,0,1,68.61
80,15,Nuevo,9,11.93,0,1,68.72
81,32,Nuevo,9,13.01,20,1,88.68
82,38,Frecuente,9,10.5,15,1,50.68
83,49,Nuevo,10,19.0,15,1,90.26
84,29,Nuevo,6,7.93,20,1,71.0
85,26,Nuevo,10,9.2,15,1,73.14
86,29,Nuevo,14,10.03,0,1,61.72
87,44,Frecuente,8,14.17,0,1,41.33
88,38,Nuevo,11,7.84,5,0,68.51
89,29,Premium,7,12.54,20,1,80.55
90,40,Frecuente,5,12.66,10,0,72.01
91,35,Frecuente,7,9.22,10,1,44.45
92,44,Frecuente,9,13.32,5,1,69.05
93,27,Premium,8,7.97,5,1,51.61
94,31,Nuevo,10,7.53,15,0,70.74
95,31,Premium,9,12.4,5,1,60.37
96,20,Frecuente,9,5.36,5,1,57.48
97,37,Frecuente,5,3.42,10,1,45.5
98,37,Frecuente,5,14.13,15,1,58.68
99,35,Nuevo,8,16.2,5,1,67.16
100,32,Frecuente,8,10.13,5,0,55.06
101,20,Frecuente,3,9.33,15,1,57.16
102,30,Nuevo,4,16.02,20,1,44.16
103,31,Frecuente,8,7.42,15,0,71.95
104,26,Nuevo,9,6.55,10,1,56.67
105,33,Nuevo,8,14.83,20,1,68.76
106,39,Nuevo,8,12.04,0,1,63.28
107,53,Nuevo,9,16.26,15,1,86.75
108,36,Frecuente,7,3.44,10,1,47.89
109,37,Nuevo,11,6.4,20,1,64.07
110,34,Premium,10,12.06,15,1,77.87
111,15,Frecuente,10,13.67,5,1,67.74
112,34,Nuevo,9,15.39,15,1,88.33
113,35,Frecuente,6,12.7,0,0,46.61
114,59,Premium,5,12.66,15,0,78.94
115,33,Frecuente,9,10.44,20,1,72.26
116,38,Nuevo,6,18.36,20,1,70.09
117,34,Premium,5,7.59,15,1,48.06
118,23,Frecuente,8,13.44,20,1,79.53
119,46,Nuevo,9,8.05,5,1,55.42
120,42,Nuevo,12,14.14,15,1,86.49
121,42,Frecuente,8,7.85,5,0,52.87
122,25,Nuevo,14,14.98,5,1,86.24
123,49,Premium,3,12.45,10,1,54.06
124,20,Nuevo,6,18.98,15,1,58.51
125,40,Premium,8,10.88,20,1,75.1
126,56,Frecuente,10,13.7,5,1,46.48
127,25,Nuevo,4,8.88,10,0,56.04
128,29,Nuevo,6,10.85,15,1,76.84
129,35,Frecuente,9,12.42,15,1,64.77
130,29,Frecuente,7,5.89,0,0,57.02
131,19,Frecuente,11,6.33,0,0,59.92
132,35,Nuevo,11,14.4,5,1,81.66
133,24,Nuevo,8,11.42,0,1,55.02
134,39,Nuevo,10,9.63,5,1,50.51
135,25,Frecuente,8,9.05,20,1,81.39
136,50,Nuevo,5,9.21,5,1,43.56
137,27,Frecuente,5,12.45,0,0,49.85
138,31,Frecuente,12,13.78,20,1,86.96
139,43,Premium,7,3.63,0,1,50.69
140,22,Nuevo,13,17.65,5,1,85.78
141,37,Nuevo,6,17.37,10,1,69.24
142,48,Frecuente,7,2.68,15,0,36.5
143,18,Frecuente,12,16.34,0,1,62.16
144,36,Nuevo,8,16.22,5,1,73.37
145,37,Premium,12,12.0,20,1,88.8
146,42,Premium,3,6.81,0,0,21.18
147,22,Nuevo,9,16.06,0,0,44.03
148,21,Nuevo,6,11.04,15,1,68.51
149,40,Frecuente,6,14.2,5,0,48.72
150,37,Frecuente,8,20.88,10,1,69.71
151,37,Nuevo,8,13.01,20,1,86.24
152,38,Frecuente,6,8.33,5,0,62.52
153,28,Frecuente,5,10.66,20,1,62.48
154,37,Nuevo,9,8.84,0,1,50.82
155,37,Frecuente,11,13.73,15,1,79.86
156,27,Premium,7,8.78,15,1,63.52
157,53,Nuevo,9,10.11,10,0,65.57
158,39,Nuevo,4,6.86,15,1,63.86
159,23,Frecuente,4,11.47,0,1,38.47
160,41,Premium,6,12.71,10,1,47.81
161,25,Premium,4,1.26,5,0,52.79
162,42,Frecuente,10,13.04,15,0,88.45
163,46,Frecuente,10,11.82,10,1,58.69
164,26,Frecuente,9,8.94,0,1,52.77
165,44,Frecuente,15,20.11,20,1,114.28
166,39,Nuevo,7,15.83,20,0,89.24
167,43,Nuevo,13,7.61,0,1,62.04
168,53,Nuevo,5,15.35,0,0,51.33
169,32,Frecuente,10,16.98,20,1,106.74
170,27,Nuevo,7,12.53,10,1,67.0
171,26,Premium,11,13.45,20,1,81.02
172,26,Nuevo,7,13.35,0,0,62.74
173,34,Nuevo,10,3.66,15,1,64.45
174,38,Frecuente,9,11.25,5,1,64.38
175,37,Frecuente,12,11.04,15,1,80.6
176,43,Nuevo,5,17.72,15,1,79.55
177,35,Nuevo,6,13.33,0,1,42.22
178,49,Premium,8,10.81,20,0,61.7
179,32,Nuevo,11,11.64,10,1,85.8
180,62,Nuevo,5,16.09,15,1,74.64
181,41,Premium,6,11.26,20,0,80.6
182,26,Nuevo,7,9.21,10,1,42.21
183,24,Frecuente,10,10.9,15,1,85.01
184,39,Nuevo,7,15.76,10,1,64.43
185,32,Nuevo,8,13.98,20,1,72.91
186,42,Nuevo,9,12.18,5,1,61.63
187,39,Nuevo,7,12.77,20,1,67.37
188,34,Nuevo,7,9.76,0,1,48.62
189,26,Nuevo,8,11.22,10,1,63.47
190,19,Frecuente,11,9.35,5,0,72.62
191,30,Nuevo,12,10.82,10,0,87.36
192,43,Frecuente,8,17.38,10,0,88.89
193,37,Premium,11,7.69,15,0,48.89
194,22,Frecuente,5,9.25,0,1,34.52
195,36,Nuevo,10,6.98,10,0,39.73
196,38,Premium,9,6.12,20,1,59.24
197,26,Nuevo,9,11.25,20,1,72.38
198,36,Nuevo,7,9.53,15,0,70.4
199,35,Frecuente,9,19.05,0,1,61.37
200,23,Frecuente,12,10.87,0,0,55.38
201,38,Frecuente,7,17.16,20,0,85.55
202,40,Nuevo,10,15.87,5,1,52.71
203,45,Frecuente,7,11.16,15,0,60.36
204,45,Nuevo,4,20.44,15,1,71.63
205,21,Premium,9,13.07,20,1,79.59
206,25,Nuevo,4,18.05,20,1,79.85
207,40,Premium,7,17.59,5,1,81.39
208,40,Frecuente,15,13.66,5,0,85.57
209,40,Premium,10,15.0,0,0,54.81
210,73,Frecuente,5,14.5,15,0,67.13
211,40,Frecuente,7,7.42,15,1,59.84
212,46,Nuevo,3,12.23,20,0,63.2
213,44,Nuevo,3,16.3,0,1,53.17
214,41,Nuevo,8,18.1,15,0,62.56
215,31,Premium,9,9.12,0,1,60.48
216,42,Premium,8,14.12,0,1,74.11
217,27,Frecuente,4,12.6,20,0,68.21
218,32,Nuevo,6,11.53,0,1,46.4
219,30,Nuevo,7,13.42,5,1,61.71
220,35,Frecuente,7,12.87,5,1,69.5
221,58,Frecuente,4,14.17,10,1,58.01
222,16,Frecuente,5,17.77,20,1,89.99
223,41,Premium,13,15.14,10,1,85.59
224,18,Nuevo,11,13.24,5,1,91.48
225,30,Frecuente,4,19.46,10,1,65.9
226,45,Frecuente,8,16.44,20,1,64.9
227,35,Nuevo,6,11.63,20,1,59.12
228,24,Nuevo,4,7.13,0,0,38.82
229,27,Nuevo,5,8.05,15,0,70.35
230,41,Premium,12,15.73,0,1,61.07
231,27,Frecuente,9,9.48,20,0,73.91
232,37,Frecuente,7,7.97,5,0,58.8
233,35,Premium,11,8.97,5,0,51.8
234,28,Frecuente,10,9.25,0,0,47.76
235,56,Nuevo,11,15.4,20,1,77.43
236,41,Frecuente,13,11.37,5,1,80.84
237,14,Frecuente,9,6.51,20,1,87.18
238,36,Frecuente,7,12.12,5,0,42.39
239,28,Frecuente,5,12.89,20,1,71.91
240,43,Frecuente,8,10.08,10,0,77.2
241,27,Nuevo,9,16.62,20,0,90.92
242,33,Premium,6,10.32,20,1,66.58
243,40,Nuevo,7,16.43,0,1,43.19
244,43,Nuevo,7,14.39,10,1,79.11
245,22,Nuevo,10,15.71,15,0,85.16
246,31,Nuevo,10,7.61,0,0,36.68
247,30,Nuevo,6,12.39,15,1,80.49
248,28,Premium,4,11.79,5,1,35.68
249,52,Premium,4,6.31,15,0,53.26
250,39,Nuevo,4,16.42,20,1,73.98
251,22,Nuevo,9,8.73,15,1,85.28
252,44,Nuevo,7,9.56,0,0,45.73
253,56,Nuevo,11,7.95,0,0,51.27
254,45,Nuevo,8,14.8,15,0,62.58
255,19,Premium,12,5.9,0,0,46.44
256,30,Nuevo,10,14.47,0,1,53.53
257,47,Frecuente,4,16.18,15,1,62.61
258,27,Nuevo,3,14.15,10,0,59.29
259,39,Premium,5,14.85,10,0,39.93
260,42,Frecuente,10,15.04,5,1,53.45
261,25,Premium,5,8.2,0,1,41.19
262,34,Frecuente,4,17.74,15,1,73.82
263,2,Nuevo,10,10.16,0,0,52.91
264,24,Nuevo,6,11.73,20,1,73.19
265,32,Frecuente,10,10.67,0,1,51.91
266,22,Nuevo,11,13.97,0,1,62.76
267,51,Frecuente,5,9.85,10,1,61.11
268,20,Nuevo,8,12.27,15,0,76.67
269,30,Nuevo,6,7.06,0,1,35.7
270,36,Frecuente,9,16.66,10,1,84.14
271,49,Frecuente,11,14.68,5,1,71.6
272,20,Frecuente,13,10.83,10,0,86.57
273,46,Nuevo,4,10.12,10,1,69.51
274,35,Frecuente,8,14.58,10,0,55.44
275,25,Nuevo,5,9.17,0,0,35.17
276,39,Nuevo,11,12.5,0,0,68.89
277,36,Frecuente,8,16.65,5,0,50.32
278,28,Nuevo,3,8.75,20,1,77.33
279,35,Nuevo,10,13.47,20,1,80.77
280,31,Nuevo,12,13.26,20,1,93.64
281,36,Nuevo,7,11.61,5,1,56.25
282,41,Nuevo,8,9.98,20,1,61.05
283,50,Nuevo,2,16.86,20,1,83.84
284,22,Nuevo,6,9.61,10,1,85.92
285,56,Nuevo,2,4.75,0,1,25.98
286,15,Frecuente,11,14.56,0,1,60.62
287,33,Nuevo,11,7.19,10,1,38.3
288,40,Nuevo,8,14.77,10,1,83.67
289,37,Nuevo,14,17.34,10,1,95.13
290,28,Frecuente,13,14.52,0,1,50.44
291,32,Premium,2,16.29,20,1,51.78
292,30,Frecuente,12,20.08,10,1,66.63
293,29,Frecuente,7,15.87,5,1,70.25
294,43,Frecuente,9,13.32,10,1,77.43
295,38,Frecuente,6,18.54,15,1,68.57
296,28,Frecuente,8,19.02,10,0,81.52
297,43,Nuevo,9,19.08,0,0,68.2
298,38,Nuevo,7,10.03,10,0,57.37
299,43,Nuevo,8,6.58,15,0,73.58
300,41,Premium,6,9.79,5,1,40.63
